product_code,name,category,supplier,selling_price,cost_price,unit,last_updated
8886461600919,Toilet Brush,Household products,,2.30,0.00,,
8886461601138,LEOPARD ,Household products,,1.20,0.00,,
8886461601534,L UMBRELLA,Household products,,6.90,0.00,,
8886461601541,Leopad Umbrella,Household products,,7.90,0.00,,
8886461601558,Leopad ,Household products,,9.90,0.00,,
8886461603880,MOTH BALL,Household products,,2.50,0.00,,
8886467012105,Cif Glass Cleaner,Household products,,3.50,0.00,,
8887509345250,Candles,Household products,,1.50,0.00,,
8888047756966,Triple Power Detergent,Household products,,1.80,0.00,,
8888071124007,HARPIC FRESH LEMON 500ML,Household products,,3.20,0.00,,
8888071125547,H Power Bluematic,Household products,,9.30,0.00,,
8888086779094,BREEZE A  bac,Household products,,5.30,0.00,,
8888153206263,MM Class Cleaner,Household products,,6.90,0.00,,
8888267201475,UIC Diswash Lemon,Household products,,1.60,0.00,,
8888267201482,UIC DISHWASH LIME 600ML,Household products,,1.60,0.00,,
8888267201499,UIC AB DISHWASH 600ML,Household products,,1.80,0.00,,
8888267205008,Kim Poh Dishwash,Household products,,5.90,0.00,,
8888267300253,UIC DISHWASH 750.ML,Household products,,2.60,0.00,,
8888267320503,UIC Floral 1.6kg,Household products,,3.90,0.00,,
8888267320510,UIC Color Care,Household products,,3.90,0.00,,
8888267320527,UIC A Bacterial,Household products,,3.90,0.00,,
8888267320701,UIC Low Suds,Household products,,3.90,0.00,,
8888280306102,Baygon Lavender,Household products,,1.30,0.00,,
8888300291005,Mama Detergent 1KG,Household products,,2.40,0.00,,
8888300300080,TOP SUPER LOW SUDS 3KG,Household products,,9.60,0.00,,
8888300300363,TOP  Super White,Household products,,7.20,0.00,,
8888300300387,Top Super Colour,Household products,,7.20,0.00,,
8888300300400,Top AntiBacterial,Household products,,7.20,0.00,,
8888300300424,Top Blooming Fresh,Household products,,7.50,0.00,,
8888300301094,Top Super White 1.6kg,Household products,,4.90,0.00,,
8888300301100,TOP SUPER WHITE 2.6KG,Household products,,9.20,0.00,,
8888300302107,Top Super Colour,Household products,,4.90,0.00,,
8888300302169,TOP SUPER COLOUR,Household products,,4.90,0.00,,
8888300303012,TOP ANTI-BACTERIAL 3L,Household products,,7.45,0.00,,
8888300303104,Top Anti-Bacterial,Household products,,4.90,0.00,,
8888300303111,TOP Antibacteria,Household products,,9.50,0.00,,
8888300303159,TOP AB,Household products,,4.90,0.00,,
8888300304002,TOP  Low Suds 2.8kg,Household products,,10.90,0.00,,
8888300304026,Top Super Low Suds,Household products,,4.90,0.00,,
8888300306006,Top Blooming Fresh,Household products,,4.90,0.00,,
8888300463105,MAMA D/WASH REFILL,Household products,,1.70,0.00,,
8888300463112,Mama AB Diswash,Household products,,1.90,0.00,,
8888300463297,Mama Dishwash 750ML,Household products,,2.90,0.00,,
8888300463365,Mama Lemon,Household products,,1.90,0.00,,
8888300463464,Mama Lemon Gold,Household products,,1.80,0.00,,
8888331614514,MAGICLEAN 500ML,Household products,,4.20,0.00,,
8888331632006,KAO COLOURS WIDE BLEACH 1L,Household products,,3.90,0.00,,
8888331633003,KAO COLOURS BLEACH 2L,Household products,,6.00,0.00,,
8888399611364,Beautex 3ply,Household products,,5.60,0.00,,
8888399621738,Beautex Toilet Roll,Household products,,5.90,0.00,,
8901030166921,SURF EXCEL 250 G,Household products,,1.40,0.00,,
8901030190728,RIN SURF EXCEL 250G,Household products,,1.50,0.00,,
8901030743467,Vim Bar,Household products,,1.30,0.00,,
8901030814150,Surf Excel,Household products,,3.40,0.00,,
8901030865169,Surf Excel Bar,Household products,,1.30,0.00,,
8901030962783,Vim Washing Liquid,Household products,,3.90,0.00,,
8901468110015,Pitambari,Household products,,2.60,0.00,,
8901751432824,Lavender,Household products,,4.60,0.00,,
8904271201116,KIWI Instant Polish,Household products,,3.90,0.00,,
8909106006478,Surf Excel 1kg,Household products,,5.60,0.00,,
8909106017993,Vim 250ml,Household products,,2.50,0.00,,
8909106018006,Vim Dishwash 500ml,Household products,,3.90,0.00,,
8909106026346,Surf  Excel 500g,Household products,,2.90,0.00,,
8934868145332,Jif,Household products,,2.20,0.00,,
8992727002103,ATTACK COLOUR 1KG,Household products,,3.20,0.00,,
8992727002479,Attack Softener,Household products,,3.70,0.00,,
8992779141409,Glade Orange,Household products,,4.90,0.00,,
8998866182188,Mama refill,Household products,,1.80,0.00,,
9551025230725,Food Paper,Household products,,3.80,0.00,,
9555222606314,Mr Muscle,Household products,,5.70,0.00,,
9555227800236,Onwards Toilet Tissue,Household products,,5.70,0.00,,
9555227800908,ONWARDS Kitchen Towel,Household products,,5.90,0.00,,
9555227804050,ONWARDS TISSUE,Household products,,5.90,0.00,,
9555404901268,Stain Remover,Household products,,2.60,0.00,,
9555469700387,Light Zone,Household products,,2.60,0.00,,
9555761800433,PurSoft Toilet Roll,Household products,,5.90,0.00,,
9555761800952,Pursoft P Tissue,Household products,,4.90,0.00,,
9555761801058,PurSoft 3fly,Household products,,5.80,0.00,,
9555761801539,Pursoft 3 ply,Household products,,5.20,0.00,,
9556019001480,Auafresh Soft,Household products,,5.60,0.00,,
9556031313530,Softlan Perfume Bloom,Household products,,3.60,0.00,,
9556031313547,Softlan Lavender,Household products,,3.60,0.00,,
9556031313554,Softlan Spring Fresh,Household products,,3.60,0.00,,
9556031314858,Softlan FF,Household products,,3.60,0.00,,
9556111256221,HARPIC,Household products,,2.90,0.00,,
9556126002332,CIF CLEANSER 500ML,Household products,,1.95,0.00,,
9556126604789,Comfort Rose,Household products,,4.30,0.00,,
9556126639965,Cif original 660g,Household products,,2.30,0.00,,
9556126639972,Cif Lemon 660g,Household products,,2.30,0.00,,
9556126648769,Breeze PC 3.6kg,Household products,,12.60,0.00,,
9556126648776,Beeze C Care 3.6kg,Household products,,12.60,0.00,,
9556126648820,BREEZE LIQ 1.8KG,Household products,,5.30,0.00,,
9556126648837,"BREEZE LIQ 1,8KG",Household products,,5.30,0.00,,
9556126652827,BREEZE LIQ 1.5KG,Household products,,5.30,0.00,,
9556126671583,Breeze S Sakura,Household products,,5.50,0.00,,
9556126671590,Breeze S Sakura 3.6kg,Household products,,12.60,0.00,,
9556823000129,Glade A Foil,Household products,,2.90,0.00,,
9556823000297,Glade Cook&Bake,Household products,,6.90,0.00,,
